vendorId,vendorName,modelId,modelName,modelEQ
501,爱科技,1024,K67,"[3.4, 3.1, 1.9, 1.8, 0.5, 0.1, 2.5, 3.9, 2.7, 2.2]"
501,爱科技,1025,K142,"[4.3, 3.8, 1.9, 0.7, -0.4, 0, 1.7, 2.9, 1.4, 2.2]"
501,爱科技,1026,K240,"[6.3, 3.8, 2.1, 0.2, -1, -0.3, 1.8, 2.7, 0.2, 0.2]"
501,爱科技,1027,K240S,"[6.3, 3.8, 2, 0.2, -1.1, -0.3, 1.8, 2.7, 0.4, 0.2]"
501,爱科技,1028,K242,"[6.4, 4.1, 2.1, 0.2, -1.1, -0.1, 2.1, 2.7, 0.4, 1.2]"
501,爱科技,1029,K267,"[4.9, 3.8, 2.1, 0.4, -1.1, -0.3, 1.5, 3.1, 1, 0.4]"
501,爱科技,1030,K271,"[6, 3.8, 2.6, 0.7, -0.8, -0.1, 1.6, 2.9, 0.8, 2.2]"
501,爱科技,1031,K309,"[7.8, 6, 3.8, 1.5, -0.5, -0.1, 1.3, 3.1, 1.1, 3.2]"
501,爱科技,1032,K314,"[9.1, 6.7, 3.6, 1, -0.5, -0.1, 1.2, -0.4, -1.6, 0.2]"
501,爱科技,1033,K315,"[11, 7.6, 4.1, 0.8, -1.1, -0.2, 1.6, 2, 0.4, 0.1]"
501,爱科技,1034,K319,"[9.5, 6.6, 3.8, 1.3, -0.3, -0.1, 0.1, 1.3, -1.4, 1.8]"
501,爱科技,1035,K321,"[2.1, 1.2, -0.1, -1.5, -2, -0.3, 3, 1.6, -1.3, -0.1]"
501,爱科技,1036,K323XS,"[2.7, 1.9, 0.6, -1, -1.7, -0.2, 2.3, 1.9, -1.3, 1.9]"
501,爱科技,1037,K328,"[1.5, 0.8, -0.2, -1.4, -2, -0.3, 2.5, 0.9, -1.1, -0.3]"
501,爱科技,1038,K331,"[2.7, 1.4, 0, -1.4, -2, -0.3, 2.5, 0.7, -2.1, -0.3]"
501,爱科技,1039,K340,"[2.9, 1.6, 0.1, -1.4, -2.1, -0.3, 2.7, 1.3, -1.3, 0.2]"
501,爱科技,1040,K350,"[2.7, 1.4, -0.1, -1.5, -2.1, -0.4, 2.5, 0.8, -1.7, 0.2]"
501,爱科技,1041,K374,"[1.5, 0.9, 0.1, -1, -1.7, -0.3, 1.5, 1.3, -0.1, 1.1]"
501,爱科技,1042,K375,"[0.9, 0.8, 0.3, -0.6, -1, -0.1, 1.3, 0.6, 2.4, 3.2]"
501,爱科技,1043,K376,"[0.6, 0.6, 0.3, -0.3, -0.6, 0, 1.3, 3, 2.4, 3.2]"
501,爱科技,1044,K403,"[6, 4.1, 2.3, 0.7, -0.7, -0.1, 1.7, 2.7, 0.8, -0.6]"
501,爱科技,1045,K404,"[2, 1.5, 0.6, -0.5, -1.7, 0.1, 0.8, 1.6, 0.4, 1.2]"
501,爱科技,1046,K420,"[6, 4.6, 3.1, 1.1, -0.5, -0.1, 0.6, 0.6, -0.2, -1.5]"
501,爱科技,1047,K430,"[5.7, 4.3, 2.9, 1.5, 0, -0.1, 3.5, 0.6, 1.2, 0.7]"
501,爱科技,1048,K450,"[4.3, 3.1, 1.9, 0.5, -0.5, 0.1, 2.8, 2.4, 2.6, 1.3]"
501,爱科技,1049,K501,"[5.3, 3.7, 2.1, 0.6, -0.6, -0.1, 1.3, 1.1, -0.8, 1.7]"
501,爱科技,1050,K514,"[6.7, 5, 3.4, 1.3, -0.5, -0.3, 2.1, 3, 1.9, -0.1]"
501,爱科技,1051,K540,"[3.6, 3.1, 1.6, 0, -1.5, 0.4, 1, 0.6, -0.8, -0.9]"
501,爱科技,1052,K545,"[4, 3, 2.1, 0.7, -0.7, -0.2, 1.9, 3.4, 0.7, -0.3]"
501,爱科技,1053,K550,"[3.4, 3.6, 1.6, 0.9, -0.2, -0.1, 1.5, 2.3, -0.2, -0.3]"
501,爱科技,1054,K551,"[4.4, 3.9, 2.7, 1, -0.5, 0, 1.6, 2.3, -0.4, 0.7]"
501,爱科技,1055,K612PRO,"[3.2, 3.2, 2.8, 1.7, -0.2, -0.1, 1.7, 1.6, 0.8, -0.4]"
501,爱科技,1056,K701,"[5.2, 3.6, 2.1, 0.3, -1, -0.1, 0.3, 1.3, -0.6, 1.2]"
501,爱科技,1057,K702,"[5.5, 3.8, 2.5, 0.7, -0.5, -0.1, 0.1, 1.6, -0.5, -0.6]"
501,爱科技,1058,K712,"[4.9, 3.6, 2.6, 0.7, -0.8, -0.1, 1, 1.9, -0.9, -0.1]"
501,爱科技,1059,K812,"[3.9, 3.1, 1.7, 0.1, -1.2, -0.2, 1.8, 1.5, -0.1, -1.1]"
501,爱科技,1060,K845BT,"[3.6, 3.1, 2, 1, -0.5, -0.1, 2.2, 4.4, -0.3, 1]"
501,爱科技,1061,K1000,"[6.5, 4.1, 2.6, 1.1, -0.4, 0, 0.3, 1.1, -1.1, -1.6]"
501,爱科技,1062,K3003,"[4.4, 3, 1.5, -0.2, -1.4, -0.2, 1.8, 2.8, -0.1, 1.1]"
501,爱科技,1063,Q350,"[3.1, 1.6, 0.1, -1.3, -2, -0.3, 2.6, 0.6, -2.1, -0.1]"
501,爱科技,1064,Q460,"[2.4, 1.6, 0.4, -0.9, -1.7, 0.1, 2.9, 1.6, 2.4, 1.3]"
501,爱科技,1065,Q701,"[4.8, 3.6, 2, 0.4, -0.9, 0, 0.3, 1.5, -0.1, -0.3]"
501,爱科技,1066,Y50,"[4, 3.4, 3.1, 2, 0.4, 0.2, 2.6, 3.6, 0.9, 2.8]"
501,爱科技,1803,K601,"[4, 0.5, -1, -1, -0.4, 0, -0.2, 3.6, 3, 2.8]"
501,爱科技,1807,K141,"[4, 3.4, 0.5, -0.5, 0, 0, 0, 3.6, 2, 3]"
503,Beats,1250,Urbeats,"[1.8, 1.1, -0.1, -1.3, -1.8, -0.3, 1.8, 2.2, 0.5, -0.3]"
503,Beats,1252,Solo HD,"[1.2, 1.5, 0.6, -0.8, -1.7, -0.4, -1.2, 3, -1.1, -0.3]"
503,Beats,1255,Tour,"[2.3, 1.5, 0.4, -0.8, -1.3, -0.1, 0.6, 1.3, 1.6, 0.7]"
503,Beats,1256,Executive,"[2.9, 2.6, 1.3, 0.2, -0.2, 0.1, 1.3, 1.6, -1.1, -0.3]"
503,Beats,1257,Solo2 Wireless,"[5, 3.8, 1.6, 0.1, -0.2, -0.1, 3, 3.9, 5.4, 4.2]"
503,Beats,1258,Tour2,"[1, 1, 0.6, 0, -0.8, -0.1, 0.8, 2.9, 1.7, 2.7]"
503,Beats,1569,EP,"[-0.66, 1.14, 3.04, 2.14, 2.04, -0.96, 2.54, -1.56, -3.36, -3.26]"
503,Beats,1570,Solo3 Wireless,"[3.8, 3.16, 1.76, 0.46, -0.14, -0.54, 3.26, 2.06, 4.12, 3.34]"
503,Beats,1571,Studio3 Wireless,"[-1.49, 2.11, 2.21, 2.81, 1.41, -0.29, 1.31, -1.69, -2.59, -3.19]"
503,Beats,1572,Studio Wireless,"[-1.03, 2.07, 2.57, 2.97, 1.73, 1.77, 3.77, 1.67, -3.73, -2.33]"
503,Beats,1573,Beats X,"[-1.85, 0.95, 3.75, 3.45, -0.15, 0.25, 5.85, -4.75, -7.95, 0.45]"
503,Beats,1627,Powerbeats2 Wireless,"[-1.85, -5.14, -7.41, -8.22, -1.15, 5.25, 1.25, 3.75, -0.95, 0.45]"
503,Beats,1628,Powerbeats3 Wireless,"[-1.85, -3.14, -6.41, -6.22, -1.15, 3.25, 1.25, 2.75, -0.95, 0.45]"
503,Beats,1629,Pro,"[1.3, 2.1, 0.7, -0.2, -0.5, -0.1, 1.1, 1.6, -1.2, 0.4]"
505,BOSE,1094,OE2,"[2, 1.6, 0.7, -0.2, -1, -0.1, 1.9, 2.5, 1.3, 0.3]"
505,BOSE,1095,AE2,"[6.6, 4.8, 3.4, 2, -0.8, -0.2, 2.6, 2.6, 0.4, 2.5]"
505,BOSE,1096,IE2,"[4.9, 3.1, 1.3, -0.3, -1.8, -0.2, 3.1, 3.8, 1.4, 2]"
505,BOSE,1097,QuietComfort 3,"[2.3, 1.9, 1.1, 0, -1.2, 5.6, 5.1, 3.6, 3.2, 0]"
505,BOSE,1098,QuietComfort 25,"[0, 0, -1, -1, 0, 1.2, -3, 1, 0.6, 2.2]"
505,BOSE,1100,Bose 无线耳塞,"[2, 1.6, 0.7, -0.2, -1, -0.1, 1.9, 2.5, 1.3, 0.3]"
505,BOSE,1574,QuietComfort 35,"[-1.9, -1.2, -0.7, -0.5, 0.2, 2.5, -2.7, 0, 1.9, 1.6]"
505,BOSE,1642,QuietComfort 20,"[-3, -3, -3, -3, -0.5, 3, -2.2, -2.2, 0.6, 1.5]"
505,BOSE,1643,QuietControl 30,"[-2.9, -0.3, -1.2, -0.8, -0.1, 1.3, -1.5, 0.3, 1.1, 0.6]"
505,BOSE,1644,SoundLink On-Ear,"[-2.9, -2.3, -2.2, -1.8, 0.3, 2.3, 1.8, 0.3, 1.1, 0.6]"
505,BOSE,1645,SoundLink Around-EarⅡ,"[-2, 0, -0.2, -0.4, -0.3, 1.3, -1.8, -0.3, 2.1, 1.6]"
505,BOSE,1646,SoundSport Free,"[-1, -1, -1, -0.8, 0, 1.8, -2.3, 0, 3, 1.2]"
505,BOSE,1647,SoundSport In-Ear,"[3, 2.5, -2, -3, -3, -1.5, -3, 0, 0, 0]"
505,BOSE,1648,SoundSport Wireless,"[-2, -1.8, -1.8, -1.5, 0.8, 0, -0.5, -0.3, 0.6, 0.8]"
505,BOSE,1649,SoundTrue Ultra,"[-2, -0.4, -0.4, -0.5, 0.3, 2, -1.5, 0, 1.4, 0.8]"
505,BOSE,1651,QuietComfort 35Ⅱ,"[-1.9, -1.3, -0.7, -0.5, -0.1, 1.3, -1.5, 0.6, 1.1, 0.6]"
508,JBL,1594,E1,"[1, 0.6, 0.1, -0.8, -1.3, -0.1, 0.4, -0.2, -1.6, 1.3]"
508,JBL,1595,E10,"[1.8, 0.8, -0.4, -1.5, -2.1, -0.3, 1.7, 1.8, -1.2, 1.7]"
508,JBL,1596,J22,"[1.3, 0.7, -0.2, -1.5, -1.9, -0.3, 1.6, 1.4, -1.5, 0.1]"
508,JBL,1597,J33,"[1.5, 0.8, -0.2, -1.3, -1.7, -0.1, 2.1, 0.8, -1.9, -1]"
508,JBL,1598,J55 I,"[2.5, 2.1, 1.1, -0.5, -1.2, -0.1, 1.5, 5.6, 2.9, 4.2]"
508,JBL,1599,S100,"[1.1, 0.6, -0.3, -1.2, -1.8, -0.2, 1.7, 0.7, 0.3, 0.4]"
508,JBL,1600,S200,"[1.8, 1, -0.1, -1.1, -1.7, -0.1, 1.6, 0.7, -0.1, -0.3]"
508,JBL,1601,J88i,"[4, 3.2, 2.1, 0.4, 1, -0.1, 1.5, 5.1, 4.7, 2.7]"
508,JBL,1602,E50BT,"[-2.46, -1.57, -1.25, 1.3, 3, 0.6, -3, 2.8, -1.2, 1.87]"
508,JBL,1603,E55BT,"[-3, -3, -3, 3, 1.5, -0.7, 0.2, 2.78, -0.5, 3]"
508,JBL,1611,Everest Elite 700,"[-0.94, 0.3, 0.7, -0.5, -0.78, -0.7, -0.2, -0.38, 0.5, 3]"
509,OPPO,1267,PM1,"[5, 4.1, 3, 1.1, -0.4, 0, 2.5, 2.5, 1.4, 1.5]"
509,OPPO,1268,PM2,"[4, 3.4, 2.4, 0.8, -0.5, -0.1, 1.6, 2.4, 1.6, 2.7]"
509,OPPO,1269,PM3,"[3.5, 3.2, 2.6, 1.2, 0, -0.1, 1.3, 3.1, 1.4, 4.7]"
509,OPPO,1738,Enco Q1,"[-1.3, -0.7, -1.4, -2.3, 0.1, 3, 0.9, -0.5, 0.7, 1.4]"
509,OPPO,1838,Enco W51,"[-1.3, -0.7, -1.4, -2.3, 0.1, 3, 0.9, -0.5, 0.7, 1.4]"
509,OPPO,1839,Enco W31,"[0.5, 1, 0.5, 0, 0.5, 0.5, 0, 1, 1, 3]"
509,OPPO,1840,Enco M31,"[3, 1.5, 0, 0, 0.5, 1, 0, 0, 0.5, 2]"
509,OPPO,1841,Enco Free,"[4, 3, 0, 0, 0.5, 1, 0.5, 2, 3, 3]"
509,OPPO,1842,Enco X,"[0.5, 0, 0, 0.5, 2, 1.5, 0.5, 3, 1, 3]"
511,vivo,1099,XE600I,"[2.3, 2.1, 1.5, 0.7, -0.5, -0.1, 0.2, 0.9, -1.1, 2.3]"
513,阿思翠,1015,AM70,"[4.3, 3.8, 2.8, 1.2, -0.3, 0, -0.2, -0.5, 0.4, 5.7]"
513,阿思翠,1016,AX30,"[4.9, 3.6, 2.6, 1, -1, -0.1, 1.6, 2.6, 2.1, 4.7]"
513,阿思翠,1017,AX35,"[4.4, 3.1, 1.7, 1, -1, -0.1, 1.8, 4.1, 1.6, 2.7]"
513,阿思翠,1018,GX50,"[3.2, 3.4, 3.2, 1.6, 0.5, 0.1, -0.6, -0.7, -3, -1.8]"
513,阿思翠,1019,AM700,"[3.5, 2.2, 0.7, -0.6, -1.4, -0.2, 0.9, 1.6, 4.4, 9.7]"
513,阿思翠,1020,AM800,"[2.9, 2.3, 1.1, -0.3, -0.8, -0.1, 0.7, 0.8, 1.4, 3.2]"
513,阿思翠,1021,AM900,"[4.3, 3.9, 2.9, 1.4, 0, 0, 0.5, 2.1, 2.9, 3.3]"
513,阿思翠,1022,AX60,"[0.5, 0.3, -0.4, -1, -1.6, -0.1, 1.5, 2.6, -0.9, 3]"
513,阿思翠,1700,AM800m,"[1, -0.5, -2, -3, -0.5, 2.5, 2.5, 1.5, 2, 0]"
513,阿思翠,1701,AM850,"[-0.5, -3, -4.5, -3, 0, 2, 3.5, 2, 0, 0]"
513,阿思翠,1702,BX70,"[-0.5, -3.5, -6, -4.5, -0.5, -1.5, 3.5, 2.5, 0.5, 0]"
513,阿思翠,1703,Delphinus 5,"[4, 4, 7, 1, -3, -4.5, -5, 0, 2, -2]"
513,阿思翠,1704,Lyra Classic,"[0, 0, 0, -3, -3, -3, 4, 6, 4, 0]"
513,阿思翠,1705,Lyra Collection,"[2, 1, 0, -4, -4, -4, 4, 6, 4, 5]"
513,阿思翠,1706,GX40,"[3, 0, -1, -2, -2, -1, 0, 0, 3, 0]"
515,安桥,1067,ES-FC300,"[2.8, 2.4, 1.7, 0.9, -1, -0.1, 2.4, 4.1, 2.9, 3.2]"
515,安桥,1068,ES-HF300S,"[3, 2.3, 1.3, 0, -1, -0.1, 2.2, 3.8, 2.2, 5]"
517,拜亚动力,1073,DP100,"[8.7, 5.6, 3.8, 1, -0.5, -0.1, 1.8, 1.6, -2.7, -1.3]"
517,拜亚动力,1074,DT235,"[5.4, 3.1, 1.7, 0.7, -0.6, -0.4, 1.6, 1.6, 0.1, 0.2]"
517,拜亚动力,1075,DT860,"[4.5, 3.2, 1.9, 0.3, -0.7, -0.1, 1.6, 2.9, -1.6, 0.1]"
517,拜亚动力,1076,DT1350CC,"[2.9, 2.5, 1.8, 0, -1.5, -0.2, 2.2, 3.3, 1.9, 2.7]"
517,拜亚动力,1077,DTX11IE,"[4, 3.1, 2, 0.4, -0.7, -0.1, 1.3, 2.6, 1.5, 3.1]"
517,拜亚动力,1078,DTX50,"[4.2, 3.6, 2.6, 1.2, -0.2, -0.1, 0.3, -0.2, 3.3, 5.9]"
517,拜亚动力,1079,DTX60,"[4.7, 4.3, 3.3, 1.7, 0, 0.2, 2.3, 2.3, 1.8, 4.7]"
517,拜亚动力,1080,DTX71IE,"[4.5, 3.6, 2.5, 1, -0.1, 0, 0.7, 2.6, 0.4, 3.2]"
517,拜亚动力,1081,DTX101IE,"[5.5, 4.4, 3.1, 1.4, -0.4, -0.1, 1.2, 1.9, 0.1, 3.7]"
517,拜亚动力,1082,DTX300P,"[7.6, 5.3, 3.1, 1.1, -0.5, -0.2, 2, 3.2, 0.4, 2.2]"
517,拜亚动力,1083,DTX710,"[5.4, 3.7, 2.1, 0.5, -0.7, -0.1, 0.3, 1.9, 1.4, 0.6]"
517,拜亚动力,1084,DX160IE,"[5, 3.7, 2.5, 0.7, -1, 0.1, 1.4, 3.3, -1.2, 4.1]"
517,拜亚动力,1085,MMX71IE,"[4.5, 3.6, 2.5, 1, -0.1, 0, 0.7, 2.6, 0.4, 3.3]"
517,拜亚动力,1086,T1,"[4.5, 3.6, 2.1, 0.5, -0.9, -0.3, 1.5, 1.7, 0.4, -0.2]"
517,拜亚动力,1087,T51P,"[4.4, 2.9, 1.1, 0.3, -1.4, -0.4, 2.3, 2.2, 0.9, -0.3]"
517,拜亚动力,1088,T90,"[4, 3.1, 1.6, 0, -1.3, -0.3, 1.1, 1.4, -1.2, -0.3]"
517,拜亚动力,1625,DT990,"[0, 0, 0, 2, 4, 0, 0, 0, 0, 0]"
517,拜亚动力,1804,DT250,"[4, -0.5, -0.5, 0, 0, 0, 0.5, 3, 5, 3]"
517,拜亚动力,1805,DT770PRO,"[2, -0.5, -1, 2, 0, 0, 1.5, 3, 2, 1]"
517,拜亚动力,1806,DT880,"[3.5, 0.5, -0.5, -0.2, -0.2, 0, 1.5, 3, 2, 2]"
519,创新,1104,IE2,"[2.5, 2.1, 1.3, 0, -1, -0.1, 1.9, 2.4, 0.4, 1]"
519,创新,1105,IE3,"[2.9, 1.9, 0.9, -0.5, -1.4, -0.1, 1.5, 1.7, -0.7, 3]"
519,创新,1106,Air,"[7.3, 4.7, 2.6, 1.1, -0.3, 0.1, 1.3, 2.1, 1, 1.7]"
519,创新,1107,LIVE2,"[2.9, 2.5, 1.6, 0.1, -1.4, -0.3, 2.7, 3, 1, 0]"
519,创新,1108,LIVE,"[3.2, 2.5, 1.5, 0.2, -0.5, -0.1, 2, 1.3, 0.4, 0.2]"
519,创新,1109,EP630,"[2.3, 1.8, 0.8, -0.4, -1.3, -0.2, 1.7, 1.2, -1.6, 3.2]"
521,飞利浦,1122,Fidelio L1,"[2.5, 2, 0.8, -0.2, -0.7, -0.2, 0.7, 2.3, 0.4, 0.7]"
521,飞利浦,1123,Fidelio M1,"[3.1, 2.6, 2, 1, -0.4, -0.1, 1.9, 3.1, 1.9, 1.6]"
521,飞利浦,1124,Fidelio S2,"[2.7, 2, 0.8, -0.4, -1.2, -0.2, 1.8, 1.7, -1.4, 0.1]"
521,飞利浦,1125,SHE3580,"[0.1, 0.1, -0.2, -0.8, -1.2, -0.1, 1.1, 1, 0.2, 0.2]"
521,飞利浦,1126,SHE3590,"[2, 1.6, 0.9, 0, -0.9, -0.1, 0.5, 0.5, -0.7, 2.4]"
521,飞利浦,1127,SHE3900,"[2.8, 2, 1.6, 0.8, -0.5, -0.1, -1.5, -1.4, -1.8, -1.3]"
521,飞利浦,1128,SHE6000,"[6.5, 3.91, 2.6, 1.1, -0.6, -0.4, 1.3, 1.3, -0.2, 0.2]"
521,飞利浦,1129,SHE7000,"[1.9, 1.5, 0.9, 0, -0.8, -0.1, 0.7, 0.6, -0.1, 2.1]"
521,飞利浦,1130,SHE8000,"[2.5, 1.6, 0.6, -0.66, -0.6, -0.3, 1.6, 0.5, -0.7, 1.8]"
521,飞利浦,1131,SHE8005,"[2.1, 1.4, 0, -1.1, -1.5, -0.2, 1.3, 0.5, -1.6, -1.1]"
521,飞利浦,1132,SHE8500,"[2.2, 1.6, 0.6, -1, -1.1, -0.4, 2, 1.7, 1.9, 2.2]"
521,飞利浦,1133,SHE9000,"[2.7, 1.5, -0.1, -1.7, -2.3, -0.4, 2.9, 2.2, -0.4, 0.5]"
